Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
IPredator,LR,135735,916,197.231.221.211,exit1.ipredator.se,443,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.3.7 on FreeBSD,0,0,2014-04-19,CYBERDYNE- LR,37560,355000,None
UOfMichigan,US,64337,25,35.0.127.52,tor-exit.eecs.umich.edu,443,None,0,1,1,1,0,1,1,1,1,Tor 0.2.9.14 on Linux,0,0,2018-05-21,UMICH-AS-5 - University of Michigan- US,36375,136000,None
Rondie1,NL,50038,5,87.233.197.114,tor-exit.rondie.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2018-07-14,TRUESERVER-AS TrueServer BV AS number- NL,15703,208000,[2001:9a8:0:5b::5]:443
zamaxtorrelay,FR,49992,4874,163.172.51.111,zamax.fr,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.14 on Linux,0,0,2018-03-08,AS12876- FR,12876,191000,None
0x3d005,DE,45860,910,62.138.7.171,snowden.pep-security.net,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.6-rc on Linux,0,0,2016-09-23,GD-EMEA-DC-SXB1- DE,8972,147000,None
cry,NL,39725,146,192.42.115.101,cry.ip-eend.nl,9003,8080,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,156000,[2001:610:510:115:192:42:115:101]:9003
chulak,RO,39121,140,176.126.252.11,chulak.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2014-04-09,CYBERSMARTSOLUTIONS-AS- RO,60118,96700,[2a02:59e0:0:7::11]:9003
poiuty,FR,37760,196,37.187.155.229,ns322718.ip-37-187-155.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.4.8 on Linux,0,0,2016-01-26,OVH- FR,16276,124000,[2001:41d0:a:5be5::]:443
DipulseIT2,FR,36778,48,62.210.82.83,62-210-82-83.rev.poneytelecom.eu,8080,8081,0,0,1,1,0,1,1,1,1,Tor 0.3.5.2-alpha on Linux,0,0,2018-01-24,AS12876- FR,12876,118000,None
TotorBE2,FR,36157,118,5.39.33.178,ip178.ip-5-39-33.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2016-12-18,OVH- FR,16276,132000,None
volatile,SG,36104,296,144.48.63.88,customer.thn2.vmhaus.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2018-06-02,VMHAUSLIMITED-AS-AP VMHaus Limited- GB,136620,154000,[2402:28c0:100:fe66::1]:443
radieschen,AT,35579,261,109.70.100.2,tor-exit-anonymizer-01.appliedprivacy.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.4.8 on FreeBSD,0,0,2018-08-16,NEXTLAYER-AS- AT,1764,112000,[2a03:e600:100::2]:443
Unnamed,IE,35157,4103,34.241.138.212,ec2-34-241-138-212.eu-west-1.compute.amazonaws.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2016-11-14,AMAZON-02 - Amazon.com- Inc.- US,16509,126000,None
0x3d001,FR,34718,910,91.121.23.100,0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.6-rc on Linux,0,0,2016-05-31,OVH- FR,16276,100000,None
c0rsa,SE,34606,375,185.193.125.190,host-185-193-125-190.njalla.net,443,None,0,1,1,1,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2018-09-11,FLATTR-AS- SE,39287,100000,None
nsuchy,FR,34450,151,178.32.185.102,ip102.ip-178-32-185.eu,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.3.7 on FreeBSD,0,0,2018-08-31,OVH- FR,16276,90700,None
TotorBE1,FR,34424,118,5.39.33.176,ip176.ip-5-39-33.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2016-10-22,OVH- FR,16276,119000,None
ButtersStotch,GB,34325,574,185.21.216.198,thisis.feralhosting.com,9001,9002,0,0,1,1,0,1,1,1,1,Tor 0.3.2.10 on Linux,0,0,2017-04-16,FERAL Feral Hosting- GB,200052,159000,None
0x3d004,DE,34156,910,62.138.7.171,snowden.pep-security.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.4.6-rc on Linux,0,0,2016-08-24,GD-EMEA-DC-SXB1- DE,8972,118000,None
PrivacyRepublic0001,FR,33928,383,178.32.181.96,tor-exit-node.1.privacyrepublic.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.3.1.10 on Linux,0,0,2014-11-21,OVH- FR,16276,184000,None
Hydra5,FR,33860,339,178.32.185.97,ip97.ip-178-32-185.eu,56794,15869,0,1,1,1,0,1,1,1,1,Tor 0.3.3.7 on FreeBSD,0,0,2018-08-30,OVH- FR,16276,47000,[2001:470:c912:0:b420:53ff:fee7:c373]:9001
lazarus,DE,33733,1081,85.199.141.237,slave237.starsellersworld.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.3.9 on Linux,0,0,2018-08-13,RHTEC-AS rh-tec IP Backbone- DE,25560,92100,None
